2021-07-14 12:49:01.249: Dataset name: ml-100k
The number of users: 943
The number of items: 1682
The number of ratings: 100000
Average actions of users: 106.04
Average actions of items: 59.45
The sparsity of the dataset: 93.695331%
2021-07-14 12:49:01.249: 

NeuRec hyperparameters:
recommender=CDAE
config_dir=./conf
gpu_id=0
gpu_mem=0.5
data.input.path=dataset
data.input.dataset=ml-100k
data.column.format=UIRT
data.convert.separator='\t'
user_min=0
item_min=0
splitter=ratio
ratio=0.8
by_time=False
metric=["Precision", "Recall", "NDCG", "MAP", "MRR"]
topk=[10, 20]
group_view=None
rec.evaluate.neg=0
test_batch_size=128
num_thread=8

CDAE's hyperparameters:
lr=0.001
reg=0.001
hidden_dim=64
dropout=0.5
num_neg=5
epochs=5000
batch_size=32
hidden_act=sigmoid
loss_func=sigmoid_cross_entropy

2021-07-14 12:49:01.969: metrics:	Precision@10	Precision@20	Recall@10   	Recall@20   	NDCG@10     	NDCG@20     	MAP@10      	MAP@20      	MRR@10      	MRR@20      
2021-07-14 12:49:47.670: epoch 46:	0.18759288  	0.15249231  	0.10871161  	0.16507064  	0.21317303  	0.20956023  	0.11175450  	0.09379873  	0.40444037  	0.41097206  
2021-07-14 12:49:48.633: epoch 47:	0.19056216  	0.15556765  	0.10576529  	0.16172369  	0.22096352  	0.21569027  	0.12067454  	0.10045362  	0.42193311  	0.42856899  
2021-07-14 12:49:49.611: epoch 48:	0.18292689  	0.15360577  	0.09969842  	0.16463758  	0.21474686  	0.21280429  	0.11614853  	0.09595493  	0.42334059  	0.43174455  
2021-07-14 12:49:50.586: epoch 49:	0.19013800  	0.15408298  	0.11296073  	0.16697973  	0.21544231  	0.21234703  	0.11272505  	0.09585045  	0.40202588  	0.40828708  
2021-07-14 12:49:51.551: epoch 50:	0.18642628  	0.15238626  	0.10427736  	0.16401589  	0.21640331  	0.21135889  	0.11658240  	0.09548633  	0.41770646  	0.42525011  
2021-07-14 12:49:52.511: epoch 51:	0.18271478  	0.15371187  	0.09879784  	0.16661844  	0.21397887  	0.21338579  	0.11638200  	0.09625631  	0.41845921  	0.42823294  
2021-07-14 12:49:53.482: epoch 52:	0.18759292  	0.15567364  	0.10604471  	0.16457188  	0.21719030  	0.21354170  	0.11599644  	0.09664742  	0.42315719  	0.42972845  
2021-07-14 12:49:54.441: epoch 53:	0.19035013  	0.15275750  	0.11014184  	0.15927316  	0.22019804  	0.21203370  	0.11776921  	0.09743626  	0.42246768  	0.42694166  
2021-07-14 12:49:55.396: epoch 54:	0.18928958  	0.15684018  	0.10352243  	0.16823193  	0.21846259  	0.21629792  	0.11916169  	0.09894920  	0.41924956  	0.42799759  
2021-07-14 12:49:56.354: epoch 55:	0.19119845  	0.15556766  	0.11182097  	0.16682908  	0.21917981  	0.21457556  	0.11638544  	0.09728686  	0.41704020  	0.42347109  
2021-07-14 12:49:57.314: epoch 56:	0.19416758  	0.15387090  	0.11149401  	0.16390258  	0.22198033  	0.21345012  	0.11906303  	0.09757356  	0.41802952  	0.42378455  
2021-07-14 12:49:58.266: epoch 57:	0.18844126  	0.15323465  	0.10748724  	0.16529274  	0.21603322  	0.21165967  	0.11618207  	0.09594777  	0.40397665  	0.41157669  
2021-07-14 12:49:59.230: epoch 58:	0.19024408  	0.15583269  	0.10989591  	0.16509126  	0.21662642  	0.21257111  	0.11516024  	0.09666533  	0.40862402  	0.41465411  
2021-07-14 12:50:00.191: epoch 59:	0.18738091  	0.15127279  	0.10568341  	0.16161001  	0.21759737  	0.21144195  	0.11667640  	0.09604021  	0.42235214  	0.42885235  
2021-07-14 12:50:01.154: epoch 60:	0.18409346  	0.15747640  	0.10450758  	0.16999918  	0.20993285  	0.21287628  	0.11006588  	0.09482965  	0.40155795  	0.40909606  
2021-07-14 12:50:02.118: epoch 61:	0.18918352  	0.15402994  	0.10494582  	0.16645826  	0.21552405  	0.21200497  	0.11526102  	0.09565853  	0.41421309  	0.42174318  
2021-07-14 12:50:03.083: epoch 62:	0.19077440  	0.15535554  	0.10916296  	0.16652402  	0.21584152  	0.21164086  	0.11413525  	0.09506863  	0.40682250  	0.41344681  
2021-07-14 12:50:04.044: epoch 63:	0.18144231  	0.15514347  	0.09109527  	0.16626880  	0.21285239  	0.21368408  	0.11815519  	0.09687506  	0.42069453  	0.43233472  
2021-07-14 12:50:04.991: epoch 64:	0.18928964  	0.15487827  	0.10372306  	0.16261050  	0.21910819  	0.21382400  	0.11937159  	0.09846505  	0.42318314  	0.43036178  
2021-07-14 12:50:05.994: epoch 65:	0.18313912  	0.15588568  	0.09920886  	0.16824213  	0.21392100  	0.21501647  	0.11569420  	0.09724152  	0.42074713  	0.42998788  
2021-07-14 12:50:06.961: epoch 66:	0.19172861  	0.15482527  	0.10940714  	0.16762897  	0.22033812  	0.21458267  	0.11776030  	0.09681505  	0.42372918  	0.43035045  
2021-07-14 12:50:07.934: epoch 67:	0.18525994  	0.15281053  	0.09750265  	0.15919054  	0.21332031  	0.20928401  	0.11633714  	0.09557740  	0.41173798  	0.41962230  
2021-07-14 12:50:08.903: epoch 68:	0.19035004  	0.15636291  	0.10717247  	0.16459846  	0.21974482  	0.21476503  	0.11883767  	0.09844603  	0.42164114  	0.42865363  
2021-07-14 12:50:09.869: epoch 69:	0.18388137  	0.15445413  	0.09699223  	0.16493261  	0.21294452  	0.21227443  	0.11596471  	0.09638462  	0.41732180  	0.42710140  
2021-07-14 12:50:10.845: epoch 70:	0.18992588  	0.15652199  	0.10716055  	0.16674243  	0.21633151  	0.21242961  	0.11505024  	0.09596271  	0.41140854  	0.41811189  
2021-07-14 12:50:11.833: epoch 71:	0.18568407  	0.15503742  	0.10264886  	0.16495839  	0.21584871  	0.21421903  	0.11686009  	0.09776952  	0.41833884  	0.42705777  
2021-07-14 12:50:12.799: epoch 72:	0.18706273  	0.15408298  	0.10302563  	0.16519757  	0.21722269  	0.21434340  	0.11797983  	0.09773575  	0.42079133  	0.42983934  
2021-07-14 12:50:13.772: epoch 73:	0.18091209  	0.15694624  	0.09911644  	0.17151298  	0.21244876  	0.21586293  	0.11388069  	0.09681389  	0.42190111  	0.43029365  
2021-07-14 12:50:14.738: epoch 74:	0.18886542  	0.15530251  	0.10954395  	0.16705374  	0.22001201  	0.21520256  	0.11812714  	0.09794361  	0.42642424  	0.43290022  
